Date,TLT,GLD,DBC,UUP,SPY,CASH
1986-01-31,,34.82994823218416,10.00566868180622,36.27026116259477,16.138323233211118,100.67187500000001
1986-02-28,,33.602701839409626,9.300958944818497,34.348104465037906,17.344620602092657,101.3325341796875
1986-03-31,,34.1840290780923,9.144222680886077,35.19576362979901,18.312287509151545,101.95530704600016
1986-04-30,,34.357930388809336,9.525509658332215,33.47059814658804,18.106089148415183,102.53942599261785
1986-05-31,74.32245487364622,34.10453133605022,9.231696213537615,35.11219159947045,19.069359128235636,103.14825383444901
1986-06-30,76.26259927797835,34.33308734442119,8.892610555615375,33.22286677097124,19.391615031158132,103.7392073720422
1986-07-31,75.21790613718412,35.52555347505232,8.864972513181709,32.24388012997954,18.307006624270716,104.30112807864076
1986-08-31,78.27736462093863,38.22847670448287,9.41143065445875,31.75438680948369,19.66459791584192,104.78460726608863
1986-09-30,74.99404332129964,42.05430554025774,9.640420083181368,31.864821278132148,18.03890836759358,105.31944536567595
1986-10-31,75.74025270758123,39.848243198590154,9.64249863562058,32.593091828138164,19.079189346844966,105.84604259250432
1986-11-30,76.71032490974729,38.10923009141976,9.560281829137894,31.61112047177759,19.542916574172303,106.38629843490357
1986-12-31,76.48646209386283,38.63093402357087,9.69246435425612,30.918666506198097,19.044189196401042,106.951475645339
1987-01-31,76.78494584837544,39.798557109813856,9.939329333955977,29.802382958238052,21.60863414054253,107.5085145809918
1987-02-28,77.15805054151625,40.330198259720234,9.482329407659527,29.614345889998795,22.462476260494764,108.08525296650441
1987-03-31,75.36714801444043,41.76811366890627,9.950808307426728,29.10097484655193,23.110584859505344,108.68760307418235
1987-04-30,71.26299638989171,45.040439475713185,10.591270659019155,28.680129979540258,22.905384761278928,109.3329357174353
1987-05-31,69.69595667870037,44.816852076219845,10.79696689040685,29.14574557708509,23.10397041783643,110.00487771819868
1987-06-30,70.21830324909747,44.44917501927525,10.85346328670624,29.324828499217716,24.27071830254554,110.663761100365
1987-07-31,68.94974729241878,45.95963211807467,10.941191609656777,29.784474666024792,25.5002195595398,111.3092997067838
1987-08-31,67.38270758122744,45.05534530234607,10.555707297285004,29.074112408232036,26.451693277029054,111.98179339251229
1987-09-30,64.3978700361011,45.66151558541689,10.682552636139961,29.42332410639066,25.87180944329704,112.7516682220858
1987-10-31,67.68119133574008,46.58567683665602,10.736353619276244,27.966783006378627,20.300003433905403,113.46811111391364
1987-11-30,67.53194945848377,48.94079744465249,10.911555474878318,26.659477674810443,18.627083114385254,114.2245651880064
1987-12-31,68.12891696750903,48.106071153210706,10.610621311727446,25.489469250210615,20.044128177731654,114.93251952432789
1988-01-31,70.81527075812275,45.512457319088,10.684953028956858,26.960933927067035,20.887225640134155,115.59098708410266
1988-02-29,71.18837545126354,42.34745346403788,10.468475144916729,27.008689372969066,21.86088212225268,116.24720675036137
1988-03-31,69.0989891696751,45.40811653265778,10.843593515123912,26.37592971476712,21.1855384834671,116.91926091438691
1988-04-30,67.8304332129964,44.61810772111466,11.082586815586229,26.60575279817066,21.41986346194535,117.63173766058397
1988-05-31,66.26339350180507,45.26402687520652,11.526190136161555,27.19374172583945,21.605128791270985,118.39144263297523
1988-06-30,68.50202166064982,43.380924110584864,11.924776033908241,28.474184619087737,22.596593971753858,119.1745526962246
1988-07-31,66.711119133574,43.40576715497301,11.280679568051124,29.112913708027442,22.510911043038107,120.01249876986992
1988-08-31,66.48725631768953,42.506448948122035,11.215667811758825,29.38153809122638,21.74627244172218,120.86883795380076
1988-09-30,68.57664259927797,39.52031501266659,10.60222664187617,29.160669153929472,22.67278197613843,121.7375827265937
1988-10-31,69.77057761732853,40.981086022689716,10.760062527099013,27.957828860271995,23.304072518970102,122.61257160244108
1988-11-30,67.97967509025271,41.99468223372618,10.96633538916339,27.011674088337944,22.971955916140256,123.56409624664752
1988-12-31,68.3527797833935,40.76743584095164,11.57207921001309,27.61757130822,23.372708781771845,124.55466841822481
1989-01-31,69.24823104693141,39.15263795572199,11.357907848679698,28.877121193886147,25.08112457282863,125.52775176524219
1989-02-28,67.60657039711192,38.45703271285384,11.592180823602641,28.327933566012756,24.45609031641422,126.60650588197473
1989-03-31,67.68119133574008,38.07941843815398,11.971040588200408,29.315874353111084,25.026616391656116,127.69453054189795
1989-04-30,68.94974729241878,37.51796563498183,12.06122294403079,29.166638584667226,26.326003644670667,128.76530238654613
1989-05-31,70.59140794223828,35.95285383852847,11.701914982377367,30.71570586111445,27.391111641153994,129.79140088993893
1989-06-30,74.39707581227438,37.06582222711752,11.959816405028656,30.485882777710916,27.235748465179533,130.79863624059521
1989-07-31,75.44176895306859,36.59877299262033,11.501502297189996,29.10097484655193,29.694895765333627,131.73193900960362
1989-08-31,72.75541516245488,35.754109483423285,11.747964976417745,30.500806354555298,30.27541208599942,132.71992855217567
1989-09-30,72.38231046931408,36.419903073025665,12.04708878744414,29.372583945119747,30.15256483468079,133.73606550515325
1989-10-31,74.69555956678701,37.29437823548849,11.933304803916883,29.28901191479119,29.452432280285787,134.70425889604994
1989-11-30,74.84480144404333,40.55875426809119,12.126945431157141,28.748778433024427,30.053089118613954,135.65841406323028
1989-12-31,74.32245487364622,39.8730862429783,12.491322378759097,27.805608376459258,30.77480243200247,136.60519674471328
1990-01-31,71.11375451263538,41.244422293204096,12.40598103860972,27.623540738957754,28.708574303890515,137.55858718032744
1990-02-28,70.44216606498195,40.51403678819253,12.587190581261908,27.874256829943434,29.076811244866274,138.51863148669014
1990-03-31,69.69595667870037,36.61864742813085,12.625932116725698,27.987676013960762,29.845953457963688,139.49980512638754
